,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Player-additional,season,PPG
163,138,Joel Embiid,C,28,PHI,48,1683,30.5,0.641,0.15,0.57,6.1,28.5,17.4,22.4,1.6,4.3,12.1,37.2,,5.5,3.0,8.5,0.244,,6.2,2.2,8.4,4.4,embiijo01,2223,33.4
164,139,Drew Eubanks,C,25,POR,59,1164,15.9,0.696,0.032,0.403,9.9,19.9,14.9,8.5,1.2,5.2,15.3,11.3,,2.4,1.2,3.6,0.148,,-0.7,1.0,0.3,0.7,eubandr01,2223,6.1
165,140,Bruno Fernando,C,24,TOT,33,370,16.1,0.563,0.01,0.458,14.4,22.3,18.3,12.1,0.8,8.2,16.0,15.4,,0.5,0.4,0.8,0.107,,-2.9,1.1,-1.8,0.0,fernabr01,2223,2.0
166,140,Bruno Fernando,C,24,HOU,31,364,16.1,0.561,0.011,0.473,14.3,22.4,18.3,11.8,0.8,8.4,15.1,15.0,,0.5,0.4,0.8,0.111,,-2.8,1.1,-1.8,0.0,fernabr01,2223,2.0
167,140,Bruno Fernando,C,24,ATL,2,6,12.6,0.667,0.0,0.0,17.9,18.3,18.1,28.8,0.0,0.0,40.0,35.2,,0.0,0.0,0.0,-0.141,,-4.9,0.5,-4.3,0.0,fernabr01,2223,2.0
168,141,Dorian Finney-Smith,PF,29,TOT,47,1493,9.4,0.538,0.689,0.128,6.0,12.0,9.0,6.4,1.4,1.3,10.4,12.8,,0.7,1.1,1.8,0.057,,-1.4,-0.5,-1.9,0.0,finnedo01,2223,6.5
169,141,Dorian Finney-Smith,PF,29,DAL,40,1288,10.2,0.557,0.7,0.129,6.0,11.3,8.6,6.4,1.5,1.4,9.9,12.8,,0.9,1.0,1.8,0.068,,-0.8,-0.2,-1.0,0.3,finnedo01,2223,6.5
170,141,Dorian Finney-Smith,PF,29,BRK,7,205,4.7,0.418,0.62,0.12,6.3,16.6,11.6,6.2,0.7,0.4,13.2,13.2,,-0.2,0.2,-0.1,-0.017,,-5.6,-1.9,-7.5,-0.3,finnedo01,2223,6.5
171,142,Malachi Flynn,PG,24,TOR,43,591,9.5,0.492,0.555,0.12,2.7,10.3,6.2,14.9,1.4,0.5,7.9,16.4,,0.2,0.4,0.6,0.051,,-2.5,-0.8,-3.3,-0.2,flynnma01,2223,4.8
172,143,Simone Fontecchio,SF,27,UTA,34,346,5.8,0.461,0.685,0.173,5.1,6.5,5.8,7.7,0.8,1.4,13.3,19.1,,-0.4,0.1,-0.2,-0.031,,-4.2,-2.2,-6.4,-0.4,fontesi01,2223,4.5
